                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3137,                 1.8957,                 1.5006,                0.61784,                0.61702,                0.61911,                0.34799,                 1.5392,                 2.6023,                  1.934,             0.00066082,             0.00066082,             0.00066082
                      2,                 1.4443,                 1.6157,                 1.5861,                0.59044,                0.43455,                0.44091,                0.20543,                 1.8752,                 2.6391,                 2.3297,              0.0013143,              0.0013143,              0.0013143
                      3,                 1.4743,                 1.4982,                 1.6117,                 0.4136,                0.33515,                0.34113,                0.18308,                 1.7512,                 3.3228,                  2.064,              0.0019547,              0.0019547,              0.0019547
                      4,                 1.5014,                 1.4556,                 1.6048,                0.64191,                0.51418,                0.56404,                0.26603,                 1.7503,                 2.7743,                 1.9798,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4788,                  1.381,                 1.5968,                0.73183,                0.66775,                0.70131,                0.38404,                 1.5636,                 1.5862,                 1.8563,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4043,                 1.2589,                 1.5327,                0.80823,                0.69858,                 0.7782,                0.46036,                 1.4862,                  1.253,                 1.7931,               0.001901,               0.001901,               0.001901
                      7,                  1.372,                 1.2377,                 1.5178,                0.68238,                0.58865,                0.63167,                0.33487,                 1.6572,                 1.5112,                  1.912,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3193,                 1.1515,                 1.4747,                0.76932,                0.72139,                0.78106,                0.45519,                 1.4319,                 1.1518,                 1.7126,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3333,                  1.157,                 1.4869,                0.85753,                0.74702,                0.83194,                0.48323,                 1.4236,                 1.1871,                 1.7155,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3112,                 1.1178,                 1.4713,                0.82395,                0.73027,                0.81819,                0.48956,                 1.4075,                 1.1201,                 1.6544,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.282,                 1.0799,                 1.4511,                 0.8151,                0.73474,                 0.8149,                0.51919,                 1.3123,                 1.0784,                  1.596,               0.001802,               0.001802,               0.001802
                     12,                 1.2401,                 1.0276,                 1.4122,                0.83751,                0.74935,                0.82453,                0.50715,                 1.3633,                 1.1209,                 1.6494,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2207,                 1.0086,                 1.4016,                0.78462,                0.79787,                0.83319,                0.49939,                 1.3453,                0.96283,                 1.6399,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2444,                 1.0113,                 1.4131,                0.84156,                0.70567,                0.77155,                0.45571,                 1.4066,                 1.1281,                 1.6567,              0.0017426,              0.0017426,              0.0017426
